,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
117,"Monday, Aug 15",SEA,@,LAA,W,6.0,2.0,9.0,63-54,2.0,12.0,Munoz,Loup,None,3:26,N,23096.0,1.02,1,
118,"Tuesday, Aug 16",SEA,@,LAA,W,8.0,2.0,9.0,64-54,2.0,11.0,Ray,Suarez,None,3:04,N,20294.0,1.00,2,
119,"Wednesday, Aug 17",SEA,@,LAA,W,11.0,7.0,9.0,65-54,2.0,11.0,Kirby,Toussaint,None,3:14,D,19550.0,1.04,3,
120,"Friday, Aug 19",SEA,@,OAK,W,10.0,2.0,9.0,66-54,2.0,10.5,Gonzales,Irvin,None,2:44,N,16912.0,.94,4,
121,"Saturday, Aug 20",SEA,@,OAK,L-wo,3.0,4.0,10.0,66-55,2.0,10.5,Jimenez,Castillo,None,3:19,D,9626.0,.95,-1,
122,"Sunday, Aug 21",SEA,@,OAK,L,3.0,5.0,9.0,66-56,2.0,11.5,Sears,Castillo,Pruitt,3:28,D,9314.0,.99,-2,
123,"Tuesday, Aug 23",SEA,Home,WSN,W,4.0,2.0,9.0,67-56,2.0,11.5,Ray,Fedde,Sewald,2:48,N,38254.0,1.05,1,
124,"Wednesday, Aug 24",SEA,Home,WSN,L,1.0,3.0,9.0,67-57,2.0,12.5,Finnegan,Sewald,None,2:57,D,21035.0,1.02,-1,
125,"Thursday, Aug 25",SEA,Home,CLE,W,3.0,1.0,9.0,68-57,2.0,12.5,Gonzales,McKenzie,Munoz,2:46,D,24028.0,1.12,1,
126,"Friday, Aug 26",SEA,Home,CLE,W-wo,3.0,2.0,11.0,69-57,2.0,11.5,Murfee,Clase,None,3:29,N,39870.0,1.04,2,
127,"Saturday, Aug 27",SEA,Home,CLE,L,3.0,4.0,9.0,69-58,2.0,11.5,Plesac,Munoz,Clase,2:48,N,45586.0,1.00,-1,
128,"Sunday, Aug 28",SEA,Home,CLE,W,4.0,0.0,9.0,70-58,2.0,11.5,Ray,Civale,None,2:31,D,45190.0,1.13,1,
129,"Tuesday, Aug 30",SEA,@,DET,W,9.0,3.0,9.0,71-58,2.0,11.5,Kirby,Manning,Flexen,2:53,N,12536.0,.96,2,
130,"Wednesday, Aug 31",SEA,@,DET,W,5.0,3.0,9.0,72-58,2.0,11.5,Gonzales,Lange,Sewald,3:00,N,13666.0,.87,3,
131,"Thursday, Sep 1",SEA,@,DET,W,7.0,0.0,9.0,73-58,2.0,11.0,Gilbert,Rodriguez,None,2:47,D,14393.0,.80,4,
132,"Friday, Sep 2",SEA,@,CLE,W,6.0,1.0,9.0,74-58,2.0,11.0,Castillo,Morris,None,2:57,N,21923.0,.76,5,
133,"Saturday, Sep 3",SEA,@,CLE,W,4.0,0.0,9.0,75-58,2.0,10.0,Ray,Curry,None,3:19,N,26254.0,.71,6,
134,"Sunday, Sep 4",SEA,@,CLE,W,6.0,3.0,11.0,76-58,2.0,10.0,Boyd,Stephan,Flexen,3:47,D,17809.0,.71,7,
135,"Monday, Sep 5",SEA,Home,CHW,L,2.0,3.0,9.0,76-59,2.0,11.0,Lynn,Gonzales,Hendriks,2:48,D,37109.0,.56,-1,
136,"Tuesday, Sep 6",SEA,Home,CHW,W,3.0,0.0,9.0,77-59,2.0,10.0,Gilbert,Cueto,Sewald,3:02,N,17958.0,.57,1,
137,"Wednesday, Sep 7",SEA,Home,CHW,L,6.0,9.0,9.0,77-60,2.0,11.0,Bummer,Castillo,Hendriks,3:32,D,15264.0,.57,-1,
138,"Friday, Sep 9",SEA,Home,ATL,L,4.0,6.0,9.0,77-61,2.0,12.0,Morton,Ray,Jansen,3:06,N,42114.0,.58,-2,
